DATE_TIME,current_contract,next_contract,carry_contract
2020-09-22 23:00:00,20201200,20210100,20201100
2020-10-22 23:00:00,20210100,20210200,20201200
2020-11-23 23:00:00,20210200,20210300,20210100
2020-12-21 23:00:00,20210300,20210400,20210200
2021-01-20 23:00:00,20210400,20210500,20210300
2021-02-19 23:00:00,20210500,20210600,20210400
2021-03-23 23:00:00,20210600,20210700,20210500
2021-04-21 23:00:00,20210700,20210800,20210600
2021-05-24 23:00:00,20210800,20210900,20210700
2021-06-22 23:00:00,20210900,20211000,20210800
2021-07-22 23:00:00,20211000,20211100,20210900
2021-08-23 23:00:00,20211100,20211200,20211000
2021-09-21 17:00:01,20211200,20220100,20211100
2021-11-12 17:00:01,20220100,20220200,20211200
2021-11-23 17:00:01,20220200,20220300,20220100
2021-12-10 17:00:02,20220300,20220400,20220200
2022-01-18 17:00:01,20220400,20220500,20220300
2022-02-17 17:00:01,20220500,20220600,20220400
2022-03-10 18:00:01,20220600,20220700,20220500
2022-04-11 17:00:01,20220700,20220800,20220600
2022-05-09 17:00:01,20220800,20220900,20220700
2022-06-09 17:00:01,20220900,20221000,20220800
2022-07-08 17:00:02,20221000,20221100,20220900
2022-07-18 17:00:02,20221100,20221200,20221000
2022-09-02 23:00:01,20221200,20230100,20221100
2022-09-30 17:00:02,20230100,20230200,20221200
2022-10-31 18:00:00,20230200,20230300,20230100
